Date,Open,High,Low,Close,Adj Close,Volume
18/09/2018,0.196495,0.214757,0.194385,0.208417,0.208417,55982400
19/09/2018,0.207512,0.211158,0.199817,0.206563,0.206563,48741100
20/09/2018,0.206568,0.241435,0.205852,0.231897,0.231897,89258100
21/09/2018,0.233042,0.275536,0.231694,0.249211,0.249211,182926000
22/09/2018,0.248064,0.249508,0.231003,0.239225,0.239225,76614200
23/09/2018,0.239433,0.300275,0.238815,0.281478,0.281478,317587000
24/09/2018,0.279833,0.282503,0.254954,0.259048,0.259048,135616000
25/09/2018,0.258395,0.258395,0.233449,0.252306,0.252306,118361000
26/09/2018,0.250619,0.257956,0.238515,0.244767,0.244767,89889500
27/09/2018,0.243985,0.264678,0.243985,0.259216,0.259216,99370800
28/09/2018,0.259997,0.262948,0.249273,0.254127,0.254127,63003000
29/09/2018,0.252453,0.259334,0.245518,0.253908,0.253908,54822100
30/09/2018,0.254448,0.262696,0.252677,0.259599,0.259599,64864600
1/10/2018,0.259081,0.263545,0.253404,0.258404,0.258404,67813900
2/10/2018,0.258257,0.259782,0.248286,0.248286,0.248286,50886900
3/10/2018,0.247934,0.249178,0.237829,0.241136,0.241136,47661800
4/10/2018,0.240654,0.248393,0.24002,0.244278,0.244278,36170200
5/10/2018,0.2435,0.24762,0.240469,0.245192,0.245192,38001100
6/10/2018,0.245137,0.247914,0.238837,0.239771,0.239771,34392600
7/10/2018,0.242372,0.246788,0.237606,0.245138,0.245138,33460000
8/10/2018,0.243991,0.254004,0.2412,0.249009,0.249009,41913600
9/10/2018,0.249569,0.250283,0.242846,0.243915,0.243915,40657100
10/10/2018,0.243664,0.245796,0.238212,0.241593,0.241593,40184400
11/10/2018,0.240941,0.240941,0.206578,0.207037,0.207037,75872400
12/10/2018,0.206477,0.218393,0.206083,0.216032,0.216032,48988300
13/10/2018,0.215589,0.219563,0.214387,0.21481,0.21481,46116600
14/10/2018,0.214765,0.219311,0.208793,0.210144,0.210144,36498700
15/10/2018,0.209662,0.230353,0.20793,0.223001,0.223001,71749600
16/10/2018,0.222475,0.229817,0.222002,0.227978,0.227978,42468100
17/10/2018,0.229563,0.243272,0.227609,0.240403,0.240403,74599800
18/10/2018,0.240969,0.245978,0.232275,0.239452,0.239452,59461700
19/10/2018,0.238869,0.246234,0.234606,0.242853,0.242853,45872300
